"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 11 15:50:33 GMT+08:00 2023","Mon Sep 11 15:50:33 GMT+08:00 2023","6","txtCompare","test_txt","TxtCompareTest","","","BanKuai_szyp_880002",""
"passed","Mon Sep 11 15:50:24 GMT+08:00 2023","Mon Sep 11 15:50:24 GMT+08:00 2023","9","txtCompare","test_txt","TxtCompareTest","","","BanKuai_700864",""
"passed","Mon Sep 11 15:50:29 GMT+08:00 2023","Mon Sep 11 15:50:29 GMT+08:00 2023","12","txtCompare","test_txt","TxtCompareTest","","","BanKuai_szyp_5001000800",""
"passed","Mon Sep 11 15:50:26 GMT+08:00 2023","Mon Sep 11 15:50:26 GMT+08:00 2023","75","txtCompare","test_txt","TxtCompareTest","","","BanKuai_C39",""
"passed","Mon Sep 11 15:50:29 GMT+08:00 2023","Mon Sep 11 15:50:29 GMT+08:00 2023","16","txtCompare","test_txt","TxtCompareTest","","","BanKuai_szyp_5001000169",""
"passed","Mon Sep 11 15:50:38 GMT+08:00 2023","Mon Sep 11 15:50:38 GMT+08:00 2023","3","txtCompare","test_txt","TxtCompareTest","","","BanKuai_SH1420",""
"passed","Mon Sep 11 15:50:33 GMT+08:00 2023","Mon Sep 11 15:50:33 GMT+08:00 2023","15","txtCompare","test_txt","TxtCompareTest","","","BanKuai_szyp_5001001600",""
"passed","Mon Sep 11 15:50:34 GMT+08:00 2023","Mon Sep 11 15:50:34 GMT+08:00 2023","12","txtCompare","test_txt","TxtCompareTest","","","BanKuai_szyp_881006",""
"passed","Mon Sep 11 15:50:30 GMT+08:00 2023","Mon Sep 11 15:50:31 GMT+08:00 2023","213","txtCompare","test_txt","TxtCompareTest","","","BanKuai_szyp_5001001268",""
"passed","Mon Sep 11 15:50:24 GMT+08:00 2023","Mon Sep 11 15:50:24 GMT+08:00 2023","5","txtCompare","test_txt","TxtCompareTest","","","BanKuai_700753",""
"passed","Mon Sep 11 15:50:32 GMT+08:00 2023","Mon Sep 11 15:50:32 GMT+08:00 2023","35","txtCompare","test_txt","TxtCompareTest","","","BanKuai_szyp_5001001392",""
"passed","Mon Sep 11 15:50:24 GMT+08:00 2023","Mon Sep 11 15:50:24 GMT+08:00 2023","12","txtCompare","test_txt","TxtCompareTest","","","BanKuai_700732",""
"passed","Mon Sep 11 15:50:28 GMT+08:00 2023","Mon Sep 11 15:50:28 GMT+08:00 2023","14","txtCompare","test_txt","TxtCompareTest","","","BanKuai_sw1_760000",""
"passed","Mon Sep 11 15:50:33 GMT+08:00 2023","Mon Sep 11 15:50:33 GMT+08:00 2023","15","txtCompare","test_txt","TxtCompareTest","","","BanKuai_szyp_5001001560",""
"passed","Mon Sep 11 15:50:25 GMT+08:00 2023","Mon Sep 11 15:50:25 GMT+08:00 2023","5","txtCompare","test_txt","TxtCompareTest","","","BanKuai_700988",""
"passed","Mon Sep 11 15:50:49 GMT+08:00 2023","Mon Sep 11 15:50:49 GMT+08:00 2023","2","txtCompare","test_txt","TxtCompareTest","","","BanKuai_SHSZP",""
"passed","Mon Sep 11 15:50:28 GMT+08:00 2023","Mon Sep 11 15:50:28 GMT+08:00 2023","3","txtCompare","test_txt","TxtCompareTest","","","BanKuai_SZSGTTRST",""
"passed","Mon Sep 11 15:50:24 GMT+08:00 2023","Mon Sep 11 15:50:24 GMT+08:00 2023","6","txtCompare","test_txt","TxtCompareTest","","","BanKuai_701078",""
"passed","Mon Sep 11 15:50:32 GMT+08:00 2023","Mon Sep 11 15:50:32 GMT+08:00 2023","5","txtCompare","test_txt","TxtCompareTest","","","BanKuai_szyp_5001001520",""
"passed","Mon Sep 11 15:50:30 GMT+08:00 2023","Mon Sep 11 15:50:30 GMT+08:00 2023","4","txtCompare","test_txt","TxtCompareTest","","","BanKuai_szyp_5001000980",""
"failed","Mon Sep 11 15:50:35 GMT+08:00 2023","Mon Sep 11 15:50:37 GMT+08:00 2023","1486","txtCompare","test_txt","TxtCompareTest","","","BanKuai_HK1620",""
"passed","Mon Sep 11 15:50:25 GMT+08:00 2023","Mon Sep 11 15:50:25 GMT+08:00 2023","4","txtCompare","test_txt","TxtCompareTest","","","BanKuai_700803",""
"passed","Mon Sep 11 15:50:28 GMT+08:00 2023","Mon Sep 11 15:50:28 GMT+08:00 2023","15","txtCompare","test_txt","TxtCompareTest","","","BanKuai_sw_270200",""
"passed","Mon Sep 11 15:50:25 GMT+08:00 2023","Mon Sep 11 15:50:25 GMT+08:00 2023","4","txtCompare","test_txt","TxtCompareTest","","","BanKuai_730144",""
"passed","Mon Sep 11 15:51:15 GMT+08:00 2023","Mon Sep 11 15:51:15 GMT+08:00 2023","15","txtCompare","test_txt","TxtCompareTest","","","BanKuai_2350",""
"passed","Mon Sep 11 15:50:25 GMT+08:00 2023","Mon Sep 11 15:50:25 GMT+08:00 2023","3","txtCompare","test_txt","TxtCompareTest","","","BanKuai_730366",""
"passed","Mon Sep 11 15:50:29 GMT+08:00 2023","Mon Sep 11 15:50:29 GMT+08:00 2023","20","txtCompare","test_txt","TxtCompareTest","","","BanKuai_sw_640100",""
"passed","Mon Sep 11 15:51:09 GMT+08:00 2023","Mon Sep 11 15:51:09 GMT+08:00 2023","8","txtCompare","test_txt","TxtCompareTest","","","BanKuai_SZ1321",""
"passed","Mon Sep 11 15:50:34 GMT+08:00 2023","Mon Sep 11 15:50:34 GMT+08:00 2023","12","txtCompare","test_txt","TxtCompareTest","","","BanKuai_szyp_880051",""
"passed","Mon Sep 11 15:50:25 GMT+08:00 2023","Mon Sep 11 15:50:25 GMT+08:00 2023","9","txtCompare","test_txt","TxtCompareTest","","","BanKuai_730426",""
"passed","Mon Sep 11 15:50:25 GMT+08:00 2023","Mon Sep 11 15:50:25 GMT+08:00 2023","31","txtCompare","test_txt","TxtCompareTest","","","BanKuai_700458",""
"passed","Mon Sep 11 15:50:24 GMT+08:00 2023","Mon Sep 11 15:50:24 GMT+08:00 2023","4","txtCompare","test_txt","TxtCompareTest","","","BanKuai_701025",""
"passed","Mon Sep 11 15:50:25 GMT+08:00 2023","Mon Sep 11 15:50:25 GMT+08:00 2023","3","txtCompare","test_txt","TxtCompareTest","","","BanKuai_730467",""
"passed","Mon Sep 11 15:50:27 GMT+08:00 2023","Mon Sep 11 15:50:27 GMT+08:00 2023","6","txtCompare","test_txt","TxtCompareTest","","","BanKuai_fz_G10052",""
